Id,Id2,Geography,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",4782,599,4782,,472,264,9.9,5.8
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",5644,668,5644,,1229,456,21.8,7.6
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",5858,434,5858,,921,266,15.7,4.7
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",1985,228,1985,,359,156,18.1,7.6
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",3008,393,3008,,194,109,6.4,3.5
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",6052,668,6052,,1217,414,20.1,6.8
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",2383,296,2383,,422,185,17.7,7.2
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",2849,554,2849,,722,329,25.3,10.9
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",1255,241,1255,,145,85,11.6,6.6
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",3789,340,3789,,262,104,6.9,2.8
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",7665,848,7665,,1065,504,13.9,7.2
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",5019,517,5019,,1423,430,28.4,7.7
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",4017,561,4017,,740,289,18.4,7.1
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",5734,584,5734,,956,437,16.7,7.2
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",7812,1024,7812,,1479,734,18.9,9.6
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",2984,455,2984,,458,199,15.3,6.6
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",7364,739,7364,,1269,466,17.2,6.6
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",4794,412,4794,,813,346,17.0,7.3
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",2316,264,2316,,441,165,19.0,6.9
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",5985,717,5985,,1359,459,22.7,7.7
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",3596,367,3596,,744,350,20.7,9.1
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",3863,357,3863,,921,307,23.8,8.3
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",4666,499,4666,,778,269,16.7,5.7
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",5682,662,5682,,1172,466,20.6,7.5
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",1866,181,1866,,381,171,20.4,9.1
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",6793,929,6793,,1434,463,21.1,6.7
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",6128,693,6128,,1618,557,26.4,9.0
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",5752,641,5752,,895,354,15.6,5.9
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",2441,374,2441,,397,197,16.3,8.5
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",5946,696,5946,,836,339,14.1,6.2
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",3558,401,3558,,994,290,27.9,7.5
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",6278,732,6278,,891,330,14.2,5.2
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",3434,418,3434,,944,330,27.5,10.2
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",4058,454,4058,,1396,575,34.4,11.7
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",5255,621,5255,,778,299,14.8,5.5
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",6444,703,6444,,1958,537,30.4,7.1
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",2560,358,2560,,464,181,18.1,7.0
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",4905,565,4905,,1525,492,31.1,8.7
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",140,159,140,,0,12,0.0,20.5
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",4534,571,4534,,1597,426,35.2,8.7
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",1541,156,1541,,594,199,38.5,11.2
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",5139,553,5139,,4370,606,85.0,5.2
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",5717,367,5717,,758,238,13.3,4.1
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",3139,325,3139,,442,179,14.1,5.8
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",1536,223,1536,,262,133,17.1,9.1
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",3807,343,3807,,346,156,9.1,4.2
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",4017,427,4017,,579,175,14.4,4.6
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",2266,371,2266,,696,332,30.7,12.3
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",3678,401,3678,,444,210,12.1,5.5
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",1089,176,1089,,878,149,80.6,12.7
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",5064,571,5064,,581,249,11.5,4.9
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",7400,760,7400,,3601,701,48.7,10.0
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",6512,972,6512,,278,152,4.3,2.5
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",3528,428,3528,,293,150,8.3,4.4
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",3040,485,3040,,2395,424,78.8,9.4
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",3775,411,3775,,953,301,25.2,7.3
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",769,188,769,,120,71,15.6,9.1
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",5657,928,5657,,1372,467,24.3,8.2
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",6163,577,6163,,729,254,11.8,4.1
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",6841,843,6841,,626,468,9.2,6.5
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",5073,598,5073,,390,191,7.7,3.9
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",4138,487,4138,,448,188,10.8,4.5
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",5951,487,5951,,838,443,14.1,7.2
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",2736,314,2736,,1314,266,48.0,9.0
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",4029,500,4029,,828,388,20.6,8.4
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",3329,400,3329,,499,235,15.0,7.0
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",3296,449,3296,,271,154,8.2,4.7
